word,variant,description,elapsed_seconds,frame_count,visible_hand_frames,hand_coverage,bone_span_p95_max,bone_cv_mean,max_joint_bend_degrees,joint_sample_count,joint_violation_count,joint_violation_rate,topology_sample_count,topology_invalid_count,topology_error_rate,motion_transition_count,moving_transition_count,motion_preservation_rate,motion_step_p95,jerk_sample_count,temporal_jerk_mean,deviation_from_full
hello,joint_s08_r1_a110,"hand sigma=0.8, radius=1, joint limit=110.0 degrees",1.8005742999957874,179,71,0.19832402234636873,1.1816252761083604e-14,1.9532793351489336e-15,110.00000000000009,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5312732936424276,68,0.053037090977616455,3.4472390056227956e-05
hello,joint_s08_r1_a105,"hand sigma=0.8, radius=1, joint limit=105.0 degrees",1.8648968999041244,179,71,0.19832402234636873,1.1816252761083604e-14,1.9532080678106223e-15,105.00000000000018,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5312732936424276,68,0.05306444803991542,6.887746236143845e-05
hello,balanced_s10_r2_a110,"hand sigma=1.0, radius=2, joint limit=110.0 degrees",1.668307299958542,179,71,0.19832402234636873,1.262074541999139e-14,2.084156858386264e-15,109.14512810851424,1065,0,0.0,71,16,0.22535211267605634,70,70,1.0,0.5544145664416437,68,0.04433468993735863,0.011767606926529789
hello,smooth_s12_r2_a110,"hand sigma=1.2, radius=2, joint limit=110.0 degrees",2.000819299952127,179,71,0.19832402234636873,1.3251313788441377e-14,2.0069084486198918e-15,108.68418272684879,1065,0,0.0,71,16,0.22535211267605634,70,70,1.0,0.5675340030136334,68,0.040753795680675935,0.018262462844798835
love,default_s08_r1_a115,"hand sigma=0.8, radius=1, joint limit=115.0 degrees",1.3808055999688804,105,210,1.0,3.936068248829859e-14,3.596839052616813e-15,115.00000000000173,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.09046478931031644,204,0.015010708276289284,0.0
love,light_s06_r1_a115,"hand sigma=0.6, radius=1, joint limit=115.0 degrees",1.349513699999079,105,210,1.0,4.128317709323186e-14,3.4568941982140805e-15,115.00000000000162,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.10443544134943336,204,0.01917738539963569,0.001639144094656889
love,smooth_s10_r1_a115,"hand sigma=1.0, radius=1, joint limit=115.0 degrees",1.5664821999380365,105,210,1.0,3.68520128231343e-14,3.3849891291629925e-15,115.00000000000132,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.08788435305911035,204,0.013329870275281834,0.0007581486369179185
love,smooth_s10_r2_a115,"hand sigma=1.0, radius=2, joint limit=115.0 degrees",1.8229080000892282,105,210,1.0,3.331830717447215e-14,3.314770365344477e-15,115.00000000000162,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.07139283870691314,204,0.010135157834846665,0.00244071640775638
love,smooth_s12_r2_a115,"hand sigma=1.2, radius=2, joint limit=115.0 degrees",1.4033941000234336,105,210,1.0,3.5428997570488364e-14,3.366489910298813e-15,115.00000000000136,3150,0,0.0,210,3,0.014285714285714285,208,208,1.0,0.06712206514603537,204,0.008037017263352715,0.0038086878573930236
love,joint_s08_r1_a110,"hand sigma=0.8, radius=1, joint limit=110.0 degrees",1.395132499979809,105,210,1.0,3.976646272013673e-14,3.598688221672592e-15,110.00000000000172,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.09688313626741962,204,0.015477440924532614,0.004574711734269325
love,joint_s08_r1_a105,"hand sigma=0.8, radius=1, joint limit=105.0 degrees",1.2801924999803305,105,210,1.0,3.936068248829853e-14,3.620623205319499e-15,105.00000000000159,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.10287037271609117,204,0.01595250399964117,0.009234166152824422
love,balanced_s10_r2_a110,"hand sigma=1.0, radius=2, joint limit=110.0 degrees",1.257028799969703,105,210,1.0,3.691145794818973e-14,3.2965395479322317e-15,110.00000000000172,3150,0,0.0,210,3,0.014285714285714285,208,208,1.0,0.07605050203756394,204,0.01042957506146752,0.006125601462661418
love,smooth_s12_r2_a110,"hand sigma=1.2, radius=2, joint limit=110.0 degrees",1.4123949999921024,105,210,1.0,3.346849968121231e-14,3.3479416683766215e-15,110.00000000000189,3150,0,0.0,210,3,0.014285714285714285,208,208,1.0,0.06826431198233254,204,0.008282202113422071,0.0069430207083405835
accept,default_s08_r1_a115,"hand sigma=0.8, radius=1, joint limit=115.0 degrees",0.8679356999928132,71,114,0.8028169014084507,3.1625659580383376e-14,2.8313598382208934e-15,115.00000000000061,1710,0,0.0,114,87,0.7631578947368421,112,109,0.9732142857142857,0.65939616943647,108,0.06742669189259938,0.0
accept,light_s06_r1_a115,"hand sigma=0.6, radius=1, joint limit=115.0 degrees",0.9012257000431418,71,114,0.8028169014084507,2.854267848204517e-14,2.8066468339753598e-15,115.0000000000012,1710,0,0.0,114,88,0.7719298245614035,112,109,0.9732142857142857,0.7015498770810584,108,0.08609724458016081,0.007881443383115073
accept,smooth_s10_r1_a115,"hand sigma=1.0, radius=1, joint limit=115.0 degrees",0.8511187999974936,71,114,0.8028169014084507,2.331086481451943e-14,2.6196095738301406e-15,115.00000000000071,1710,0,0.0,114,87,0.7631578947368421,112,109,0.9732142857142857,0.6137313839108911,108,0.06175870015931533,0.003775808721860549
