word,variant,description,elapsed_seconds,frame_count,visible_hand_frames,hand_coverage,bone_span_p95_max,bone_cv_mean,max_joint_bend_degrees,joint_sample_count,joint_violation_count,joint_violation_rate,topology_sample_count,topology_invalid_count,topology_error_rate,motion_transition_count,moving_transition_count,motion_preservation_rate,motion_step_p95,jerk_sample_count,temporal_jerk_mean,deviation_from_full
hello,no_joint_limit,Keep fixed bone lengths but relax joint bend limit to 175 degrees,1.7554901000112295,179,71,0.19832402234636873,1.1816252761083604e-14,1.9531854626288243e-15,119.84577283094067,1065,2,0.0018779342723004694,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5312732936424276,68,0.05302520463513951,1.7892237008114368e-05
hello,raw_hand_baseline,"Linear hand interpolation without gap repair, hand smoothing, bone stabilization, or articulation",1.4786691999761388,179,66,0.18435754189944134,0.8559071105758058,0.19669598232426755,104.33051498337092,990,0,0.0,66,16,0.24242424242424243,64,62,0.96875,0.4086191554906705,60,0.10369893711775485,0.14566190795931888
love,full,Full hybrid pipeline (3D SLERP + repair + smoothing + bone stabilizer + fixed-length joints),1.2485903999768198,105,210,1.0,3.936068248829859e-14,3.596839052616813e-15,115.00000000000173,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.09046478931031644,204,0.015010708276289284,0.0
love,no_3d_slerp,Replace 3D kinematic hand interpolation with flat linear interpolation,1.2875016999896616,105,210,1.0,3.75215228826527e-14,3.3578805551645114e-15,116.16037127386862,3150,1,0.00031746031746031746,210,5,0.023809523809523808,208,208,1.0,0.10295365726348206,204,0.015684473188031674,0.0009741978254269347
love,no_gap_repair,Disable internal hand-gap repair and detection-edge fading,1.6796860999893397,105,202,0.9619047619047619,3.96312026428573e-14,3.526949357123657e-15,115.00000000000203,3030,0,0.0,202,4,0.019801980198019802,198,198,1.0,0.09436201470748906,190,0.016054436226036646,0.001001462934167613
love,no_hand_smoothing,Disable confidence-aware Gaussian hand smoothing,1.3187800000887364,105,210,1.0,3.681239469486177e-14,3.357125532834314e-15,115.0000000000016,3150,0,0.0,210,8,0.0380952380952381,208,208,1.0,0.11327765588238259,204,0.030022697225246964,0.005010223234457725
love,no_bone_stabilizer,Disable severe bone-length outlier stabilization,1.2267846000613645,105,210,1.0,3.4220799551682244e-14,3.5301623256567103e-15,115.00000000000173,3150,0,0.0,210,5,0.023809523809523808,208,208,1.0,0.09046478931031644,204,0.015019386057406136,8.545588967454404e-05
love,no_fixed_length,Disable final fixed-length articulated-chain projection,1.1652508999686688,105,210,1.0,2.452894175403501,0.12155262768519591,177.90995279697592,3150,711,0.2257142857142857,210,20,0.09523809523809523,208,206,0.9903846153846154,0.056436115972242795,204,0.010990710974312473,0.06985668086942085
love,no_joint_limit,Keep fixed bone lengths but relax joint bend limit to 175 degrees,1.65128949994687,105,210,1.0,3.827860187006361e-14,3.4670437431545378e-15,175.00000000000045,3150,711,0.2257142857142857,210,6,0.02857142857142857,208,206,0.9903846153846154,0.05625941303644669,204,0.011212682359892123,0.02633718460081592
love,raw_hand_baseline,"Linear hand interpolation without gap repair, hand smoothing, bone stabilization, or articulation",1.1223975999746472,105,199,0.9476190476190476,2.43138103681505,0.11889027933336929,178.20190976487413,2985,699,0.23417085427135678,199,15,0.07537688442211055,192,187,0.9739583333333334,0.07670336038934536,178,0.025168447717568612,0.06678799405915785
